City,State,Type,Population [2011],Popuation [2001],Sex Ratio,Median Age,Avg Temp,SWM,Toilets Avl,Water Purity,H Index,Female Population,# of hospitals,Foreign Visitors,Covid Cases,Rate For 10 Years(%)
Imphal,Manipur,C-1T,"2,64,986","2,21,492",981,27,9,HIGH,150,101,0.292217408,259951,80,,10585,19.63682661
Ratlam,Madhya Pradesh,C-1T,"2,64,810","2,22,202",914,25,32,MEDIUM,137,125,0.514864536,242036,73,,1387,19.17534496
Hapur,Uttar Pradesh,C-1T,"2,62,801","2,11,983",867,23,33,HIGH,150,105,0.950670483,227848,66,,2040,23.97267705
Arrah,Bihar,C-1T,"2,61,099","2,03,380",923,25,31,HIGH,118,184,0.938506214,240994,84,,9221,28.37988003
Anantapur,Andhra Pradesh,C-1T,"2,61,004","2,18,808",882,24,39,LOW,140,105,0.327263915,230206,85,,8459,19.28448686
Karimnagar,Telangana,C-1T,"2,60,899","2,05,653",929,27,27,MEDIUM,135,148,0.230800299,242375,95,,6245,26.86369759
Etawah,Uttar Pradesh,C-1T,"2,56,838","2,10,453",885,27,27,LOW,104,183,0.110137057,227302,97,,2887,22.04055062
Ambarnath,Maharashtra,C-1T,"2,54,003","2,03,795",871,25,37,MEDIUM,101,164,0.250935385,221237,99,,8701,24.636522
North Dumdum,West Bengal,C-1T,"2,53,625","2,20,042",951,27,33,HIGH,139,151,0.202178576,241197,52,,10261,15.26208633
Bharatpur,Rajasthan,C-1T,"2,52,109","2,04,587",865,24,40,LOW,122,138,0.554875623,218074,57,,3877,23.22825986
Begusarai,Bihar,C-1T,"2,51,136","93,378",928,24,31,MEDIUM,101,112,0.301761472,233054,97,,8901,168.945576
New Delhi,Delhi,C-1T,"2,49,998","3,02,147",876,23,40,HIGH,100,113,0.739131752,218998,68,,8051,-17.25947966
Gandhidham,Gujarat,C-1T,"2,48,705","1,66,388",870,29,30,HIGH,119,107,0.264745632,216373,94,,10082,49.47291872
Baranagar,West Bengal,C-1T,"2,48,466","2,50,768",958,25,33,MEDIUM,107,193,0.076656015,238030,78,,9571,-0.917979966
Tiruvottiyur,Tamil Nadu,C-1T,"2,48,059","2,12,281",905,29,28,MEDIUM,141,187,0.052000098,224493,100,,10488,16.85407549
Pondicherry,Puducherry,C-1T,"2,41,773","2,20,749",1042,24,25,HIGH,118,187,0.637098865,251927,50,,9995,9.523938953
Sikar,Rajasthan,C-1T,"2,37,579","1,84,904",858,25,37,MEDIUM,149,116,0.601350819,203843,63,,2962,28.48775581
Thoothukudi,Tamil Nadu,C-1T,"2,37,374","2,16,058",915,24,25,MEDIUM,116,184,0.962044678,217197,68,,8776,9.86586935
Rewa,Madhya Pradesh,C-1T,"2,35,422","1,83,274",929,23,33,LOW,144,123,0.421181202,218707,72,,1021,28.45357225
Mirzapur,Uttar Pradesh,C-1T,"2,33,691","2,05,053",861,28,33,MEDIUM,130,118,0.510063094,201208,67,,1945,13.96614534
Raichur,Karnataka,C-1T,"2,32,456","2,07,421",938,24,34,LOW,107,177,0.856074149,218044,80,,9096,12.06965544
Pali,Rajasthan,C-1T,"2,29,956","1,87,641",863,24,34,LOW,116,132,0.366713555,198452,99,,4459,22.55104162
Ramagundam,Telangana,C-1T,"2,29,644","2,36,600",918,26,31,MEDIUM,142,190,0.105798349,210813,77,,9538,-2.939983094
Silchar,Assam,C-1T,"2,29,136","1,84,105",901,26,8,MEDIUM,106,193,0.714026806,206452,54,,9361,24.45941175
Haridwar,Uttarakhand,C-1T,"2,28,832","1,75,010",842,27,5,HIGH,126,178,0.64380947,192677,93,,5989,30.75367122
Vijayanagaram,Andhra Pradesh,C-1T,"2,28,025","1,74,324",894,28,32,HIGH,124,155,0.456808987,203854,89,,10003,30.80528212
Tenali,Andhra Pradesh,C-1T,"2,25,982","1,84,937",896,29,38,LOW,123,167,0.112821757,202480,94,,10383,22.19404446
Nagercoil,Tamil Nadu,C-1T,"2,24,849","2,08,179",911,28,27,LOW,129,188,0.632885329,204837,83,,10193,8.00753198
Sri Ganganagar,Rajasthan,C-1T,"2,24,773","2,10,713",850,23,30,HIGH,149,135,0.436803717,191057,83,,7812,6.672583087
Karawal Nagar,Delhi,C-1T,"2,24,666","1,48,549",850,23,38,MEDIUM,148,112,0.138285393,190966,77,,7812,51.24033147
Mango,Jharkhand,C-1T,"2,23,805","1,66,125",905,28,35,MEDIUM,149,180,0.122320015,202544,78,,10126,34.72084274
Thanjavur,Tamil Nadu,C-1T,"2,22,943","2,15,314",907,25,30,HIGH,144,177,0.365735379,202209,66,,7906,3.543197377
Bulandshahr,Uttar Pradesh,C-1T,"2,22,519","1,76,425",864,25,39,LOW,110,100,0.091452069,192256,95,,2797,26.12668273
Uluberia,West Bengal,C-1T,"2,22,240","2,02,135",947,26,39,HIGH,120,173,0.855020561,210461,62,,9840,9.946323002
Katni,Madhya Pradesh,C-1T,"2,21,883","1,87,029",914,25,31,MEDIUM,107,173,0.999111407,202801,83,,571,18.63561266
Sambhal,Uttar Pradesh,C-1T,"2,20,813","1,82,478",891,23,30,LOW,113,123,0.463428529,196744,79,,1845,21.00801192
Singrauli,Madhya Pradesh,C-1T,"2,20,257","1,85,190",922,27,33,HIGH,100,197,0.175012139,203077,50,,438,18.93568767
Nadiad,Gujarat,C-1T,"2,18,095","1,92,913",866,26,37,HIGH,124,113,0.646468197,188870,98,,8997,13.05355264
Secunderabad,Telangana,C-1T,"2,17,910","2,06,102",934,26,27,LOW,115,197,0.437541636,203528,74,,9705,5.729202046
Naihati,West Bengal,C-1T,"2,17,900","2,15,303",955,26,38,HIGH,110,111,0.754768842,208095,72,,9923,1.206207066
Yamunanagar,Haryana,C-1T,"2,16,677","1,89,696",843,24,27,MEDIUM,115,186,0.298301185,182659,99,,2601,14.22328357
Bidhannagar,West Bengal,C-1T,"2,15,514","1,64,221",951,26,28,MEDIUM,119,150,0.662731398,204954,56,,9881,31.23412962
Pallavaram,Tamil Nadu,C-1T,"2,15,417","1,44,623",917,24,38,LOW,113,180,0.631001973,197537,74,,8795,48.95072015
Bidar,Karnataka,C-1T,"2,14,373","1,72,877",922,25,31,MEDIUM,102,137,0.917053409,197652,82,,5261,24.00319302
Munger,Bihar,C-1T,"2,13,303","1,88,050",918,25,39,LOW,114,129,0.330908387,195812,72,,9171,13.4288753
Panchkula,Haryana,C-1T,"2,11,355","1,40,925",839,27,36,HIGH,135,135,0.239104648,177327,70,,3632,49.97693809
Burhanpur,Madhya Pradesh,C-1T,"2,10,886","1,93,725",918,27,27,HIGH,138,107,0.754046053,193593,79,,595,8.858433346
Raurkela Industrial Township,Odisha,C-1T,"2,10,317","2,06,693",962,27,29,MEDIUM,121,184,0.509143438,202325,79,,10380,1.75332498
Kharagpur,West Bengal,C-1T,"2,07,604","1,88,761",961,29,31,HIGH,150,161,0.333383886,199507,92,,11137,9.982464598
Dindigul,Tamil Nadu,C-1T,"2,07,327","1,96,955",908,23,26,LOW,132,176,0.084296935,188253,50,,7681,5.266177553
Gandhinagar,Gujarat,C-1T,"2,06,167","1,95,985",845,29,35,LOW,127,129,0.715780327,174211,74,,9792,5.195295558
Hospet,Karnataka,C-1T,"2,06,167","1,64,240",921,29,40,HIGH,100,109,0.186327053,189880,87,,10673,25.52788602
Nangloi Jat,Delhi,C-1T,"2,05,596","1,50,948",874,28,27,LOW,102,197,0.316228501,179691,51,,9779,36.2031958
Malda,West Bengal,C-1T,"2,05,521","1,61,456",955,27,35,HIGH,137,117,0.645689095,196273,92,,5368,27.29226538
Ongole,Andhra Pradesh,C-1T,"2,04,746","1,50,471",925,29,33,HIGH,132,181,0.431225417,189390,76,,10720,36.0700733
Deoghar,Jharkhand,C-1T,"2,03,123","1,12,525",897,25,29,MEDIUM,110,141,0.342547485,182201,92,,1689,80.51366363
Chapra,Bihar,C-1T,"2,02,352","79,190",926,27,38,LOW,138,113,0.672194787,187378,72,,9991,155.527213
Haldia,West Bengal,C-1T,"2,00,827","1,70,673",945,25,28,MEDIUM,124,111,0.768494534,189782,58,,9441,17.66770374
Khandwa,Madhya Pradesh,C-1T,"2,00,738","1,72,242",923,24,32,HIGH,125,193,0.89971729,185281,88,,1121,16.54416461
Nandyal,Andhra Pradesh,C-1T,"2,00,516","1,52,676",920,25,31,LOW,121,181,0.690845938,184475,99,,9191,31.33432891
Morena,Madhya Pradesh,C-1T,"2,00,482","1,50,959",922,26,28,LOW,119,156,0.66769474,184844,92,,2220,32.80559622
Amroha,Uttar Pradesh,C-1T,"1,98,471","1,65,129",881,26,40,MEDIUM,120,173,0.62484309,174853,51,,2081,20.19148666
Anand,Gujarat,C-1T,"1,98,282","1,30,685",852,26,38,LOW,104,105,0.894537729,168936,89,,8852,51.72514061
Bhind,Madhya Pradesh,C-1T,"1,97,585","1,53,752",928,24,29,HIGH,136,163,0.331701764,183359,53,,677,28.50889745
Bhalswa Jahangir Pur,Delhi,C-1T,"1,97,148","1,52,339",868,28,33,HIGH,138,164,0.079795683,171124,95,,9712,29.41400429
Madhyamgram,West Bengal,C-1T,"1,96,127","1,55,451",945,25,37,LOW,148,191,0.955389347,185340,50,,9441,26.16644473
Bhiwani,Haryana,C-1T,"1,96,057","1,69,531",826,27,40,MEDIUM,136,145,0.97770421,161943,99,,8911,15.64669588
Berhampore,West Bengal,C-1T,"1,95,223","1,60,143",958,29,29,MEDIUM,150,105,0.228309896,187024,50,,11103,21.90542203
Ambala,Haryana,C-1T,"1,95,153","1,39,279",822,24,33,HIGH,106,116,0.05375761,160416,72,,7883,40.11660049
Morbi,Gujarat,C-1T,"1,94,947","1,45,719",871,26,39,HIGH,116,152,0.809430893,169799,97,284973,9049,33.78282859
Fatehpur,Uttar Pradesh,C-1T,"1,93,193","1,51,757",871,25,33,LOW,138,112,0.378425177,168271,94,3104060,1692,27.30417707
Raebareli,Uttar Pradesh,C-1T,"1,91,316","1,69,333",883,26,29,MEDIUM,127,179,0.450255944,168932,96,3104060,9174,12.98211217
"Khora, Ghaziabad",Uttar Pradesh,C-1T,"1,90,400","1,29,564",882,23,29,MEDIUM,134,150,0.173540312,167933,68,3104060,8107,46.95440091
Chittoor,Andhra Pradesh,C-1T,"1,89,332","1,52,654",881,25,27,LOW,107,115,0.916722679,166801,58,237854,8801,24.02688433
Bhusawal,Maharashtra,C-1T,"1,87,421","1,72,372",886,26,36,HIGH,102,171,0.179527298,166055,89,4408916,9205,8.730536282
Orai,Uttar Pradesh,C-1T,"1,87,137","1,39,318",891,27,30,LOW,122,161,0.843303917,166739,84,3104060,9613,34.3236337
Bahraich,Uttar Pradesh,C-1T,"1,86,223","1,68,323",885,24,40,LOW,129,113,0.490878699,164807,84,3104060,2473,10.63431617
Phusro,Jharkhand,C-1T,"1,86,139","83,463",906,27,35,LOW,113,195,0.044702906,168642,62,167785,9775,123.0197812
Vellore,Tamil Nadu,C-1T,"1,85,803","1,77,230",923,26,33,HIGH,130,129,0.304590584,171496,58,4684707,12234,4.837217175
Mehsana,Gujarat,C-1T,"1,84,991","1,41,453",847,26,25,LOW,131,128,0.931718037,156687,97,284973,8800,30.77912805
Raiganj,West Bengal,C-1T,"1,83,612","1,65,212",948,28,25,MEDIUM,103,171,0.815231989,174064,63,1489500,10608,11.13720553
Sirsa,Haryana,C-1T,"1,82,534","1,60,735",825,27,40,HIGH,148,119,0.936415732,150591,61,303118,8901,13.56207422
Danapur,Bihar,C-1T,"1,82,429","1,31,176",913,26,34,MEDIUM,140,185,0.158182706,166558,97,923737,9486,39.07193389
Serampore,West Bengal,C-1T,"1,81,842","1,97,857",948,26,32,MEDIUM,118,167,0.038238772,172386,83,1489500,9850,-8.094229671
Sultan Pur Majra,Delhi,C-1T,"1,81,554","1,64,426",870,24,30,HIGH,117,129,0.34608855,157952,90,2379169,8344,10.41684405
Guna,Madhya Pradesh,C-1T,"1,80,935","1,37,175",935,29,38,LOW,145,168,0.806395008,169174,67,421365,428,31.90085657
Jaunpur,Uttar Pradesh,C-1T,"1,80,362","1,60,055",884,28,38,MEDIUM,101,200,0.856761967,159440,86,3104060,4236,12.68751367
Panvel,Maharashtra,C-1T,"1,80,020","1,04,058",885,23,30,HIGH,,,0.397495664,159318,55,4408916,8134,72.99967326
Shivpuri,Madhya Pradesh,C-1T,"1,79,977","1,46,892",934,26,32,LOW,,,0.811957749,168099,74,421365,1450,22.52335049
Surendranagar Dudhrej,Gujarat,C-1T,"1,77,851","1,56,161",871,23,28,MEDIUM,,,0.157503757,154908,95,284973,8005,13.88951147
Unnao,Uttar Pradesh,C-1T,"1,77,658","1,44,662",861,23,26,LOW,,,0.021112683,152964,55,3104060,2713,22.80903071
Chinsurah,West Bengal,C-1T,"1,77,259","1,70,201",948,28,38,LOW,,,0.199412527,168042,58,1489500,10608,4.146861652
Alappuzha,Kerala,C-1T,"1,74,164","1,77,029",969,30,29,HIGH,,,0.641694501,168765,75,977479,7308,-1.61837891
Kottayam,Kerala,C-1T,"1,72,878","1,29,894",983,32,32,LOW,,,0.954123837,169939,65,977479,5611,33.09159776
Machilipatnam,Andhra Pradesh,C-1T,"1,69,892","1,79,353",890,28,33,HIGH,,,0.132712176,151204,91,237854,9958,-5.275072065
Shimla,Himachal Pradesh,C-1T,"1,69,578","1,42,555",937,28,13,MEDIUM,,,0.385515055,158895,85,406108,10485,18.95619235
Adoni,Andhra Pradesh,C-1T,"1,66,537","1,04,058",896,26,40,LOW,,,0.345380979,149217,88,237854,9309,60.04247631
Udupi,Karnataka,C-1T,"1,65,401","1,06,654",930,28,29,HIGH,,,0.772812955,153823,83,636502,13751,55.08185347
Katihar,Bihar,C-1T,"1,64,937","1,15,169",912,24,37,LOW,,,0.677035903,150423,68,923737,8747,43.21301739
Proddatur,Andhra Pradesh,C-1T,"1,63,600","86,896",878,25,40,HIGH,,,0.671401206,143641,80,237854,8771,88.27103664
Mahbubnagar,Telangana,C-1T,"1,58,000","1,02,453",922,28,33,HIGH,,,0.182836044,145676,79,126078,10317,54.21705563
Kallakurichi,Tamil Nadu,M,"1,57,628","1,14,045",917,27,30,LOW,,,0.312736933,144545,67,4684707,7521,38.21561664
Saharsa,Bihar,C-1T,"1,55,175","1,25,167",907,24,35,LOW,,,0.592634985,140744,74,923737,8699,23.97437024
Dibrugarh,Assam,C-1T,"1,54,296","1,37,661",916,23,15,MEDIUM,,,0.312840722,141335,53,24720,8419,12.08403251
Jorhat,Assam,C-1T,"1,53,889","1,12,026",917,29,13,HIGH,112,131,0.941821289,141116,81,24720,10627,37.36900362
Hazaribagh,Jharkhand,C-1T,"1,53,599","1,27,243",911,27,31,LOW,139,115,0.823940718,139929,91,167785,9829,20.71312371
Hindupur,Andhra Pradesh,C-1T,"1,51,835",85653,888,23,36,HIGH,125,174,0.006412195,134829,61,237854,8162,77.26757965
Khairthal,Rajasthan,M,150298,"1,02,453",874,29,27,MEDIUM,115,134,0.515756997,131360,82,1475311,10128,46.69946219
Medinipur,West Bengal,M,"1,49,769","94,585",953,25,30,MEDIUM,149,138,0.74954736,142730,63,1489500,9521,58.34328911
Nagaon,Assam,C-1T,"1,48,496","1,23,265",882,25,9,LOW,103,115,0.945262526,130973,91,24720,8811,20.46890845
Sasaram,Bihar,C-1T,"1,47,396","1,31,172",918,26,32,HIGH,144,169,0.036047587,135310,89,923737,9538,12.36849328
Hajipur,Bihar,C-1T,"1,47,200","1,19,412",926,27,25,LOW,124,133,0.49784633,136239,96,923737,9991,23.27069306
Giridih,Jharkhand,C-1T,"1,46,283","98,403",903,23,26,MEDIUM,113,146,0.090254618,129607,68,167785,8300,48.65705314
Bhimavaram,Andhra Pradesh,C-1T,"1,43,569","1,24,894",890,27,39,MEDIUM,142,127,0.928315027,126629,77,237854,9602,14.95267987
Kumbakonam,Tamil Nadu,C-1T,"1,40,519","1,44,021",919,28,28,LOW,134,133,0.678858476,128711,88,4684707,10283,-2.431589838
Bongaigaon,Assam,C-1T,"1,39,570","1,01,213",911,29,6,MEDIUM,128,172,0.949643267,127221,55,24720,10557,37.89730568
Dehri,Bihar,C-1T,"1,38,145","1,19,057",907,25,31,HIGH,112,102,0.888308105,124321,83,923737,9061,16.03265663
Madanapalle,Andhra Pradesh,C-1T,"1,35,645",95653,896,25,25,LOW,136,108,0.061380214,121559,55,237854,8951,41.8094571
Siwan,Bihar,C-1T,"1,33,563","1,09,919",925,27,35,MEDIUM,128,200,0.921276135,124374,87,923737,9980,21.51038492
Bettiah,Bihar,C-1T,"1,32,896","1,16,670",930,28,37,LOW,104,129,0.569425673,123593,59,923737,10406,13.90760264
Ramgarh,Jharkhand,C-1T,"1,32,441","73,455",897,28,35,MEDIUM,127,153,0.635264355,118800,51,167785,10036,80.30222585
Tinsukia,Assam,C-1T,"1,26,389","1,01,957",899,23,6,HIGH,102,137,0.329886606,113624,52,24720,8263,23.96304324
Guntakal,Andhra Pradesh,C-1T,"1,26,270","1,01,522",928,29,37,MEDIUM,137,138,0.262276928,117179,52,237854,10754,24.37698233
Srikakulam,Andhra Pradesh,C-1T,"1,25,939","94,585",885,23,26,HIGH,148,181,0.217714133,111456,77,237854,8134,33.1490194
Motihari,Bihar,C-1T,"1,25,183","1,00,683",916,25,38,HIGH,150,145,0.177767521,114668,67,923737,9151,24.33380015
Phagwara,Punjab,M.Corp,"1,22,302","88,450",872,24,35,MEDIUM,128,194,0.496103741,106647,100,242367,8363,38.27247032
Dharmavaram,Andhra Pradesh,C-1T,"1,21,874","1,11,265",889,25,39,MEDIUM,112,129,0.608428341,108346,96,237854,8881,9.534894172
Medininagar,Jharkhand,C-1T,"1,20,325","1,05,463",897,23,29,LOW,103,127,0.004921502,107932,71,167785,8244,14.09214606
Gudivada,Andhra Pradesh,C-1T,"1,18,167","94,544",890,24,33,LOW,101,125,0.735504662,105169,99,237854,8536,24.98624979
Phagwara,Punjab,C-1T,"1,17,966","83,463",874,27,33,HIGH,139,178,0.386768276,103102,62,242367,9430,41.33927609
Hosur,Tamil Nadu,C-1T,"1,16,821","1,02,000",904,29,34,MEDIUM,142,182,0.847106798,105606,71,4684707,10476,14.53039216
Narasaraopet,Andhra Pradesh,C-1T,"1,16,250","1,05,642",902,26,28,LOW,134,184,0.45085725,104858,90,237854,9372,10.04146078
Suryapet,Telangana,C-1T,"1,15,250","94,585",917,25,31,MEDIUM,144,150,0.774083237,105684,58,126078,3148,21.84807316
Miryalaguda,Telangana,C-1T,"1,09,891","91,395",937,23,35,MEDIUM,140,110,0.021000408,102968,54,126078,8612,20.23743093
Tadipatri,Andhra Pradesh,C-1T,"1,08,171","94,256",899,23,29,HIGH,116,178,0.684681386,97246,52,237854,8263,14.76298591
Karaikudi,Tamil Nadu,C-1T,"1,06,714","86,596",916,26,36,HIGH,141,143,0.896985855,97750,88,4684707,9517,23.23201995
Kishanganj,Bihar,C-1T,"1,05,782","85,590",922,24,32,MEDIUM,105,181,0.662749562,97531,62,923737,8843,23.59154107
Jamalpur,Bihar,C-1T,"1,05,221","96,983",903,23,30,LOW,107,119,0.780508156,95015,74,923737,8300,8.494272192
Ballia,Uttar Pradesh,C-1T,"1,04,271","94,526",869,28,38,HIGH,101,120,0.265044216,90611,84,3104060,4764,10.30933288
Kavali,Andhra Pradesh,C-1T,"1,04,000","92,564",895,24,26,MEDIUM,145,174,0.794026337,93080,69,237854,8584,12.35469513
Tadepalligudem,Andhra Pradesh,C-1T,"1,03,906","89,564",879,29,37,HIGH,125,188,0.650818141,91333,97,237854,10186,16.01313028
Amaravati,Andhra Pradesh,C-1T,"1,03,000",85653,875,28,29,HIGH,120,169,0.518860049,90125,80,237854,9790,20.25264731
Buxar,Bihar,C-1T,"1,02,591","83,168",916,27,29,HIGH,109,108,0.816035195,93973,56,923737,9883,23.35393421
Tezpur,Assam,C-1T,"1,02,505","83,028",904,29,8,MEDIUM,104,110,0.510582405,92665,60,24720,10476,23.4583514
Jehanabad,Bihar,C-1T,"1,02,456","81,503",919,28,33,MEDIUM,145,156,0.2702193,94157,51,923737,10283,25.70825614
Aurangabad,Bihar,C-1T,"1,01,520","79,393",903,25,31,MEDIUM,122,130,0.430665285,91673,60,923737,27667,27.87021526
Gangtok,Sikkim,C-1T,"1,00,286","29,354",889,23,,LOW,103,170,0.120447913,89154,92,38479,8171,241.6433876
Tirur,Kerala,M,"1,00,058",,963,29,36,MEDIUM,59,170,0.957538679,96356,22,977479,2790,29.0798451
Port Blair,Andaman and Nicobar Islands,M.Cl,"99,984",,876,29,,HIGH,90,148,0.8528719,87586,15,14674,2538,16.42975858
Lakhisarai,Bihar,N.P,"99,979",,901,28,32,MEDIUM,96,104,0.704088944,90081,27,923737,2520,31.6182944
Panaji,Goa,UA,"99,677",,982,30,29,MEDIUM,99,126,0.730156535,97883,10,541480,2943,31.6182944
Tinsukia,Assam,M.B.,"99,448",,915,25,8,MEDIUM,96,184,0.264396623,90995,15,24720,2285,31.6182944
Itarsi,Madhya Pradesh,M,"99,329",,923,27,33,LOW,96,178,0.753153719,91681,16,421365,2490,29.0798451
Kohima,Nagaland,M.C,"99,039",,926,25,11,HIGH,92,109,0.948055328,91710,13,2769,1531,11.42467203
Balangir,Odisha,M,"98,238",,,,,MEDIUM,99,108,0.85249311,93031,27,66971,2676,29.0798451
Nawada,Bihar,N.Pd,"98,029",,,,,MEDIUM,75,172,0.769372595,89402,20,923737,2551,31.6182944
Jharsuguda,Odisha,M,"97,730",,,,,HIGH,56,153,0.480670073,92844,14,66971,2276,29.0798451
Gadwal,Telangana,M,"96,877",,,,,MEDIUM,92,131,0.251361715,89805,30,126078,2686,29.0798451
Jagtial,Telangana,M,"96,470",,,,,HIGH,70,143,0.652641642,89910,13,126078,2797,29.0798451
Viluppuram,Tamil Nadu,M,"96,253",,,,,LOW,87,116,0.424913996,88264,30,4684707,8990,29.0798451
Amalner,Maharashtra,M.Cl.,"95,994",,881,28,35,MEDIUM,94,149,0.477545947,84571,10,4408916,2464,16.42975858
Zirakpur,Punjab,M.Cl.,"95,553",,878,24,28,MEDIUM,53,141,0.609382026,83896,30,242367,2105,16.42975858
Tanda,Uttar Pradesh,M.B,"95,516",,861,24,27,HIGH,56,176,0.727641216,82239,14,3104060,2064,31.6182944
Tiruchengode,Tamil Nadu,M,"95,335",,917,26,35,LOW,88,198,0.039670454,87422,15,4684707,2382,29.0798451
Nagina,Uttar Pradesh,N.P.P,"95,246",,872,24,37,HIGH,90,193,0.504994059,83055,12,3104060,2091,31.6182944
Yemmiganur,Andhra Pradesh,M,"95,149",,904,25,36,HIGH,52,193,0.621372395,86015,27,237854,2258,29.0798451
Vaniyambadi,Tamil Nadu,M,"95,061",,913,24,38,HIGH,84,166,0.196965299,86791,28,4684707,2189,29.0798451
Sarni,Madhya Pradesh,M,"95,012",,926,24,34,MEDIUM,83,173,0.339120437,87981,16,421365,2220,29.0798451
Theni Allinagaram,Tamil Nadu,M,"94,453",,923,23,40,HIGH,66,189,0.425948408,87180,30,4684707,2121,29.0798451
Margao,Goa,UA,"94,383",,973,31,33,HIGH,88,188,0.654063743,91835,18,541480,3014,31.6182944
Akot,Maharashtra,M.Cl.,"92,637",,886,29,37,LOW,69,187,0.108214992,82076,30,4408916,2567,16.42975858
Sehore,Madhya Pradesh,UA,"92,518",,935,24,38,HIGH,70,118,0.394321081,86504,30,421365,947,31.6182944
Mhow Cantonment,Madhya Pradesh,UA,"92,364",,913,26,33,MEDIUM,97,121,0.075472117,84328,25,421365,2372,31.6182944
Kot Kapura,Punjab,M.Cl,"91,979",,871,29,28,LOW,83,125,0.508608065,80114,17,242367,2523,16.42975858
Makrana,Rajasthan,UA,"91,853",,865,26,30,MEDIUM,73,107,0.009398607,79453,15,1475311,2247,31.6182944
Pandharpur,Maharashtra,M.Cl,"91,379",,885,25,35,LOW,88,156,0.623502899,80870,12,4408916,2210,16.42975858
Miryalaguda,Telangana,UA,"91,452",,934,24,38,HIGH,55,186,0.243639829,85329,27,126078,2240,31.6182944
Shamli,Uttar Pradesh,M.B,"91,044",,877,26,32,LOW,57,124,0.957250255,78978,20,3104060,1591,31.6182944
Seoni,Madhya Pradesh,M,"91,028",,917,23,37,MEDIUM,92,116,0.184795505,82348,15,421365,358,29.0798451
Ranibennur,Karnataka,CMC,"90,845",,952,26,37,HIGH,99,179,0.166082103,85316,11,636502,2473,31.6182944
Kadiri,Andhra Pradesh,M,"90,766",,929,28,37,LOW,57,116,0.944237107,83080,15,237854,2599,29.0798451
Shrirampur,Maharashtra,UA,90726,,880,27,25,LOW,89,101,0.085675055,78110,16,4408916,2374,31.6182944
Parli,Maharashtra,M.Cl,90451,,887,28,35,LOW,95,129,0.079173227,78532,22,4408916,2481,16.42975858
Najibabad,Uttar Pradesh,M.B,"90,024",,886,26,34,MEDIUM,51,169,0.561185127,78442,18,3104060,2301,31.6182944
