City,State,Type,Population [2011],Popuation [2001],Sex Ratio,Median Age,Avg Temp,SWM,Toilets Avl,Water Purity,H Index,Female Population,# of hospitals,Foreign Visitors,Covid Cases,Rate For 10 Years(%)
Tuni,Andhra Pradesh,M,"53,425",,875,29,38,MEDIUM,91,185,0.794995135,46747,17,237854,2535,29.0798451
Lachhmangarh,Rajasthan,M,"53,392",,849,29,36,MEDIUM,50,194,0.894732467,45330,27,1475311,2460,29.0798451
Bhongir,Telangana,M,"53,339",,928,29,31,LOW,60,185,0.369702304,49499,25,126078,2689,29.0798451
Amalapuram,Andhra Pradesh,M,"53,231",,874,26,38,HIGH,67,188,0.760845943,46524,30,237854,2270,31.6182944
Firozpur Cantt.,Punjab,C.B,"53,199",,885,29,39,MEDIUM,67,150,0.704052029,47081,22,242367,2564,31.6182944
Vikarabad,Telangana,M,"53,143",,927,29,27,HIGH,67,147,0.715420848,49264,13,126078,891,29.0798451
Manglaur,Uttarakhand,N.P.P.,"52,971",,833,24,15,MEDIUM,95,157,0.177672701,44125,19,105882,1997,31.6182944
Thiruvalla,Kerala,M,"52,883",,973,29,26,HIGH,85,116,0.028460162,51455,27,977479,2819,29.0798451
Sherkot,Uttar Pradesh,M.B,"52,880",,883,25,25,LOW,57,186,0.496717003,46693,20,3104060,2205,31.6182944
Palghar,Maharashtra,M.Cl,"52,677",,871,23,40,MEDIUM,82,199,0.593731977,45882,20,4408916,2001,16.42975858
Shegaon,Maharashtra,M.Cl,"52,423",,872,23,26,LOW,66,166,0.122788059,45713,30,4408916,2004,16.42975858
Jangaon,Telangana,M,"52,394",,925,25,26,MEDIUM,77,187,0.950781626,48464,30,126078,2310,29.0798451
Bheemunipatnam,Andhra Pradesh,M,"52,110",,909,25,34,HIGH,93,134,0.309234219,47368,15,237854,2270,29.0798451
Panna,Madhya Pradesh,UA,"52,057",,913,28,29,HIGH,57,108,0.613013303,47528,27,421365,2554,31.6182944
Thodupuzha,Kerala,M,"52,045",,972,29,25,MEDIUM,63,143,0.251821984,50588,10,977479,2816,29.0798451
Kathua,Jammu and Kashmir,M.Cl,"51,991",,908,26,8,MEDIUM,66,193,0.269989984,47208,29,58568,2359,16.42975858
Palitana,Gujarat,M,"51,944",,867,27,33,MEDIUM,81,148,0.918844915,45035,11,284973,2339,29.0798451
Arwal,Bihar,N.P.,"51,849",,910,25,39,MEDIUM,79,106,0.440229612,47183,12,923737,2273,31.6182944
Venkatagiri,Andhra Pradesh,M,"51,708",,887,25,37,MEDIUM,79,100,0.548848711,45865,17,237854,2215,29.0798451
Kalpi,Uttar Pradesh,NPP,"51,670",,882,26,34,LOW,90,110,,,,,2291,31.6182944
Rajgarh (Churu),Rajasthan,UA,"51,640",,870,26,26,HIGH,91,124,0.340973762,44927,13,1475311,2260,31.6182944
Sattenapalle,Andhra Pradesh,M,"51,404",,896,25,37,LOW,58,105,0.601696511,46058,19,237854,2238,29.0798451
Arsikere,Karnataka,T.M.C.,"51,336",,923,25,32,HIGH,63,177,0.20587987,47383,27,636502,2305,31.6182944
Ozar,Maharashtra,C.T,"51,297",,870,28,37,MEDIUM,90,123,0.48453468,44628,11,4408916,2434,31.6182944
Thirumangalam,Tamil Nadu,M,"51,194",,921,24,39,HIGH,86,156,0.958540204,47150,24,4684707,2208,29.0798451
Petlad,Gujarat,M,"51,147",,855,27,26,MEDIUM,52,136,0.277845017,43731,14,284973,2306,29.0798451
Sri Madhopur,Rajasthan,M,"51,000",,872,26,36,MEDIUM,78,200,0.894936832,44472,28,1475311,2265,29.0798451
Nasirabad,Rajasthan,C.B,"50,804",,876,26,26,LOW,65,171,0.296568956,44504,21,1475311,2275,31.6182944
Phaltan,Maharashtra,M.Cl,"50,800",,873,28,29,HIGH,98,115,0.494838939,44348,29,4408916,2442,16.42975858
Rampurhat,West Bengal,M,"50,613",,953,25,37,HIGH,58,153,0.069665037,48234,28,1489500,2380,29.0798451
Nanjangud,Karnataka,T.M.C,"50,598",,936,25,29,MEDIUM,55,105,0.078071226,47360,29,636502,2338,31.6182944
Jaspur,Uttarakhand,N.P.P,"50,523",,851,29,10,HIGH,61,154,0.806658963,42995,16,105882,2465,31.6182944
Forbesganj,Bihar,M,"50,475",,930,25,28,LOW,90,168,0.85562404,46942,25,923737,2323,29.0798451
Tundla,Uttar Pradesh,NPP,"50,423",,868,29,26,HIGH,50,132,0.255181351,43767,13,3104060,2515,31.6182944
Bhabua,Bihar,NP,"50,179",,906,26,28,LOW,80,101,0.28555061,45462,12,923737,2353,31.6182944
Sagara,Karnataka,T.M.C,"50,131",,940,27,28,MEDIUM,82,192,0.346714704,47123,25,636502,2536,31.6182944
Pithapuram,Andhra Pradesh,M,"50,103",,906,29,25,MEDIUM,57,133,0.318888338,45393,10,237854,2625,29.0798451
Sira,Karnataka,T.M.C,"50,088",,924,24,40,LOW,76,133,0.186556706,46281,24,636502,2216,31.6182944
Bhadrachalam,Telangana,C.T,"50,087",,923,28,28,MEDIUM,90,194,0.274420279,46230,23,126078,2582,31.6182944
Barbigha,Bihar,Np,"50,080",,923,28,25,HIGH,83,171,0.083325814,46224,29,923737,2582,31.6182944
Charkhi Dadri,Haryana,N.P.P,"49,985",,821,26,39,HIGH,85,191,0.593236668,41038,29,303118,2132,31.6182944
Chatra,Jharkhand,M,"49,985",,905,26,31,MEDIUM,70,104,0.430781271,45236,13,167785,2351,29.0798451
Palasa Kasibugga,Andhra Pradesh,N.P,"49,899",,924,25,39,LOW,71,151,0.765704446,46107,28,237854,2308,31.6182944
Nohar,Rajasthan,M,"49,835",,850,28,30,LOW,82,170,,,20,1475311,2378,29.0798451
Yevla,Maharashtra,M.Cl,"49,826",,886,28,25,LOW,65,102,0.624740622,44146,23,4408916,2478,16.42975858
Sirhind Fatehgarh Sahib,Punjab,M.Cl,"49,825",,872,26,40,LOW,65,142,0.806127943,43447,23,242367,2265,16.42975858
Bhainsa,Telangana,M,"49,764",,919,28,25,HIGH,85,106,0.123259734,45733,10,126078,2571,29.0798451
Parvathipuram,Andhra Pradesh,M,"49,714",,892,29,33,HIGH,72,174,0.914351998,44345,22,237854,2584,29.0798451
Shahade,Maharashtra,M.Cl,"49,696",,886,27,37,MEDIUM,71,153,0.059035819,44031,16,4408916,2390,16.42975858
Chalakudy,Kerala,M,"49,525",,968,29,34,HIGH,69,132,0.879425171,47940,23,977479,2805,29.0798451
Narkatiaganj,Bihar,N.Pd,"49,507",,923,25,35,MEDIUM,64,118,0.641151035,45695,11,923737,2305,31.6182944
Kapadvanj,Gujarat,M,"49,308",,861,27,30,HIGH,53,106,0.295148097,42454,28,284973,2322,29.0798451
Macherla,Andhra Pradesh,M,"49,221",,888,26,30,HIGH,94,167,0.236419289,43708,21,237854,2307,29.0798451
Raghogarh-Vijaypur,Madhya Pradesh,M,"49,173",,923,24,29,MEDIUM,59,181,0.622218169,45387,29,421365,2213,29.0798451
Rupnagar,Punjab,M.Cl,"49,159",,893,23,33,HIGH,92,180,0.020325433,43899,17,242367,2052,16.42975858
Naugachhia,Bihar,N.P,"49,069",,907,28,30,HIGH,58,138,0.788243345,44506,10,923737,2537,31.6182944
Sendhwa,Madhya Pradesh,M,"48,941",,928,23,26,MEDIUM,91,157,0.116238831,45417,23,421365,2132,29.0798451
Byasanagar,Odisha,M,"48,911",,952,27,31,HIGH,83,105,0.101491167,46563,23,66971,2568,29.0798451
Sandila,Uttar Pradesh,M.B,"48,899",,866,24,30,HIGH,96,125,0.527589944,42347,12,3104060,2076,31.6182944
Gooty,Andhra Pradesh,C.T,"48,658",,930,28,40,HIGH,96,176,0.597466675,45252,27,237854,2602,31.6182944
Salur,Andhra Pradesh,M,"48,354",,891,29,39,LOW,54,194,0.182587426,43083,20,237854,2581,29.0798451
Nanpara,Uttar Pradesh,N.P.P,"48,337",,882,23,37,MEDIUM,66,128,0.490544094,42633,12,3104060,2027,31.6182944
Sardhana,Uttar Pradesh,M.B,"48,314",,882,27,25,HIGH,73,105,0.552334037,42613,11,3104060,2379,31.6182944
Vita,Maharashtra,M.Cl,"48,289",,876,25,34,HIGH,61,104,0.757901428,42301,13,4408916,2188,16.42975858
Gumia,Jharkhand,C.T,"48,141",,900,27,40,MEDIUM,51,132,0.675552545,43327,15,167785,2428,31.6182944
Puttur,Karnataka,T.M.C,"48,070",,927,24,26,LOW,75,156,0.942870354,44561,26,636502,2223,31.6182944
Jalandhar Cantt.,Punjab,C.B,"47,845",,868,24,30,MEDIUM,92,165,0.513373935,41529,15,242367,2081,31.6182944
Nehtaur,Uttar Pradesh,N.P.P,"47,834",,883,23,38,MEDIUM,80,165,0.161089815,42237,24,3104060,2029,31.6182944
Changanassery,Kerala,M,"47,685",,969,29,40,MEDIUM,95,187,0.976226009,46207,29,977479,2808,29.0798451
Mandapeta,Andhra Pradesh,M,"47,638",,912,29,30,HIGH,65,191,0.481219213,43446,27,237854,2642,29.0798451
Dumka,Jharkhand,N.A.C,"47,584",,893,27,29,MEDIUM,57,189,0.544042185,42493,28,167785,2409,31.6182944
Seohara,Uttar Pradesh,UA,"47,575",,867,26,33,MEDIUM,79,116,0.251640073,41248,29,3104060,2252,31.6182944
Umarkhed,Maharashtra,M.Cl,"47,458",,876,28,34,LOW,90,121,0.828740214,41573,13,4408916,2450,16.42975858
Madhupur,Jharkhand,M,"47,326",,906,26,36,HIGH,88,116,0.495275766,42877,10,167785,2353,29.0798451
Rairangpur,Odisha,M,"47,294",,949,24,31,HIGH,59,153,0.608765386,44882,12,66971,2276,29.0798451
Vikramasingapuram,Tamil Nadu,M,"47,241",,901,27,39,HIGH,92,129,0.612441576,42564,25,4684707,2430,29.0798451
Punalur,Kerala,M,"47,235",,979,28,40,HIGH,52,185,0.299304894,46243,20,977479,2739,29.0798451
Kendrapara,Odisha,M,"47,006",,947,26,33,LOW,70,143,0.628830237,44515,23,66971,2460,29.0798451
Sihor,Gujarat,M,"46,960",,845,27,26,MEDIUM,94,134,0.894614269,39681,13,284973,2279,29.0798451
Nellikuppam,Tamil Nadu,M,"46,678",,919,25,32,LOW,64,170,0.202944954,42897,12,4684707,2295,16.42975858
Samana,Punjab,M.Cl,"46,592",,869,26,27,MEDIUM,90,128,0.65256477,40488,20,242367,2257,16.42975858
Warora,Maharashtra,M.Cl.,"46,532",,893,,,,,134,0.700051375,41553,26,4408916,2230,31.6182944
Nilambur,Kerala,C.T,"46,366",,973,28,25,LOW,53,125,0.397136362,45114,22,977479,2722,31.6182944
Rasipuram,Tamil Nadu,M,"46,330",,921,28,31,HIGH,73,176,0.740966362,42670,15,4684707,2576,31.6182944
Ramnagar,Uttarakhand,M.B,"46,205",,839,24,5,LOW,89,193,0.578552924,38766,26,105882,2012,31.6182944
Jammalamadugu,Andhra Pradesh,NP,"46,069",,890,28,25,MEDIUM,100,175,0.611223515,41001,18,237854,2490,31.6182944
Nawanshahr,Punjab,M.Cl,"46,024",,899,26,35,HIGH,97,117,0.862007849,41376,26,242367,2335,16.42975858
Thoubal,Manipur,M.Cl,"45,947",,979,25,15,LOW,76,194,0.617680449,44982,21,3260,2445,16.42975858
Attili,Andhra Pradesh,M,"45,858",,906,23,28,HIGH,93,175,0.748041928,41547,10,237854,2082,29.0798451
Athni,Karnataka,T.M.C.,"45,858",,938,23,32,HIGH,52,170,0.17004477,43015,16,636502,2155,31.6182944
Cherthala,Kerala,M,"45,827",,960,30,32,MEDIUM,61,189,0.213464878,43994,30,977479,2877,29.0798451
Farooqnagar,Telangana,C.T.,"45,675",,922,27,38,HIGH,69,174,0.095522145,42112,22,126078,2487,31.6182944
Peddapuram,Andhra Pradesh,M,"45,520",,909,23,38,HIGH,88,177,0.08925847,41378,30,237854,2089,29.0798451
Chirkunda,Jharkhand,NP,"45,508",,909,23,40,MEDIUM,99,150,0.402740007,41367,30,167785,2089,31.6182944
Pachora,Maharashtra,M.Cl,"45,333",,876,29,35,LOW,70,115,0.724296425,39712,17,4408916,2538,16.42975858
Madhepura,Bihar,M,"45,031",,908,27,28,MEDIUM,62,157,0.961622366,40888,20,923737,2449,29.0798451
Tumsar,Maharashtra,M.Cl,"44,869",,873,25,30,MEDIUM,66,151,0.238068187,39171,20,4408916,2180,16.42975858
Phalodi,Rajasthan,UA,"44,868",,855,27,34,MEDIUM,99,110,0.295191999,38362,22,1475311,2306,31.6182944
Tiruttani,Tamil Nadu,M,"44,781",,917,27,37,LOW,81,129,0.55890329,41064,17,4684707,2474,29.0798451
Rampura Phul,Punjab,UA,"44,665",,881,25,29,HIGH,87,145,0.788265337,39350,26,242367,2200,31.6182944
Perinthalmanna,Kerala,M,"44,612",,971,30,30,LOW,60,175,0.533865433,43318,11,977479,2910,29.0798451
Sainthia,West Bengal,M,"44,601",,946,29,26,HIGH,83,178,0.21164818,42193,21,1489500,2741,29.0798451
Angul,Odisha,M,"44,390",,950,24,29,LOW,94,113,0.887143701,42171,27,66971,2278,29.0798451
Padrauna,Uttar Pradesh,M.B,"44,383",,875,27,32,MEDIUM,93,102,0.787345119,38835,15,3104060,2360,31.6182944
Dalli-Rajhara,Chhattisgarh,M,"44,363",,973,25,29,HIGH,74,140,0.824264781,43165,23,6394,2430,29.0798451
Punganur,Andhra Pradesh,N.P,"44,314",,882,29,30,MEDIUM,95,105,0.990019402,39085,10,237854,2555,31.6182944
Mattannur,Kerala,M,"44,313",,965,30,39,LOW,55,181,0.165307014,42762,24,977479,2892,29.0798451
Thakurdwara,Uttar Pradesh,N.P.P.,"44,255",,878,25,32,MEDIUM,79,163,0.211555983,38856,12,3104060,2193,31.6182944
Nandivaram-Guduvancheri,Tamil Nadu,T.P,"44,098",,906,28,32,HIGH,80,122,0.025790223,39953,30,4684707,2534,31.6182944
Mulbagal,Karnataka,T.M.C,"44,033",,954,25,30,LOW,77,149,0.961020889,42007,29,636502,2383,31.6182944
Manjlegaon,Maharashtra,M.Cl,"44,029",,873,26,37,MEDIUM,56,165,0.747074049,38437,28,4408916,2268,16.42975858
Wankaner,Gujarat,M,"43,881",,858,25,26,HIGH,75,168,0.204682613,37650,16,284973,2143,29.0798451
Sillod,Maharashtra,M.Cl,"43,867",,869,28,39,HIGH,50,118,0.213918405,38120,11,4408916,2431,16.42975858
Nidadavole,Andhra Pradesh,M,"43,809",,929,24,30,HIGH,65,195,0.796102745,40699,17,237854,2228,29.0798451
Surapura,Karnataka,T.M.C,"43,622",,953,24,30,MEDIUM,99,109,0.658381814,41572,28,636502,2285,31.6182944
Rajagangapur,Odisha,M,"43,594",,952,23,26,HIGH,61,170,0.950256678,41501,11,66971,2188,29.0798451
Sheikhpura,Bihar,M,"43,113",,919,27,35,LOW,59,139,0.008755665,39621,19,923737,2479,29.0798451
Parlakhemundi,Odisha,M,"43,097",,942,25,31,HIGH,73,128,0.75084128,40597,21,66971,2353,29.0798451
Kalimpong,West Bengal,M,"42,998",,959,26,27,LOW,91,199,0.65125961,41235,26,1489500,579,29.0798451
Siruguppa,Karnataka,T.P,"42,919",,921,23,35,MEDIUM,80,178,0.751123997,39528,20,636502,2116,31.6182944
Arvi,Maharashtra,M.Cl,"42,822",,885,27,35,LOW,57,105,0.967724344,37897,28,4408916,2387,16.42975858
Limbdi,Gujarat,M,"42,769",,865,26,39,HIGH,98,166,0.365208567,36995,10,284973,2247,29.0798451
Barpeta,Assam,M.B,"42,649",,896,29,8,HIGH,55,186,0.158530176,38214,17,24720,2596,31.6182944
Repalle,Andhra Pradesh,M,"42,539",,930,23,27,HIGH,54,157,0.507003555,39561,24,237854,2137,29.0798451
Mudhol,Karnataka,T.M.C,"42,461",,923,27,31,MEDIUM,71,172,0.026749057,39192,21,636502,2490,31.6182944
Shujalpur,Madhya Pradesh,M,"42,461",,921,28,35,MEDIUM,70,100,0.962508237,39107,26,421365,2576,29.0798451
Mandvi,Gujarat,M,"42,355",,856,24,31,MEDIUM,54,169,0.219438567,36256,11,284973,2052,29.0798451
Thangadh,Gujarat,M,"42,351",,860,28,40,MEDIUM,71,197,0.742232436,36422,28,284973,2406,29.0798451
Sironj,Madhya Pradesh,M,"42,179",,930,25,40,HIGH,87,154,0.785924604,39226,21,421365,2323,29.0798451
Nandura,Maharashtra,M.Cl,"42,167",,893,26,29,MEDIUM,99,142,0.756911798,37655,18,4408916,2320,16.42975858
Shoranur,Kerala,M,"42,029",,966,30,37,LOW,51,108,0.82166313,40600,29,977479,2895,29.0798451
Nathdwara,Rajasthan,M,"42,016",,854,28,28,MEDIUM,86,153,0.409254076,35882,10,1475311,2389,29.0798451
Periyakulam,Tamil Nadu,M,"42,012",,911,28,25,HIGH,91,160,0.944316298,38273,29,4684707,2548,29.0798451
Golaghat,Assam,M.B,"41,989",,882,28,9,LOW,69,186,0.446131049,37034,20,24720,2467,31.6182944
Kichha,Uttarakhand,N.P.P,"41,965",,853,26,5,MEDIUM,79,133,0.535216793,35796,10,105882,2216,31.6182944
Sultanganj,Bihar,N.A,"41,958",,901,27,25,MEDIUM,61,165,0.275660854,37804,26,923737,2430,31.6182944
Medak,Telangana,N.P,"41,945",,919,24,34,LOW,76,198,0.218067838,38547,11,126078,2204,31.6182944
Barauli,Bihar,N.P.P.,"41,877",,907,24,28,HIGH,66,163,0.038863212,37982,28,923737,2175,31.6182944
Narayanpet,Telangana,N.P,"41,752",,922,29,25,LOW,59,171,0.196164259,38495,26,126078,2671,31.6182944
Raxaul Bazar,Bihar,M,"41,610",,907,27,36,MEDIUM,91,131,0.628509937,37740,23,923737,2447,29.0798451
Rajauri,Jammu and Kashmir,N.A.C,"41,552",,890,23,11,LOW,71,126,0.999773715,36981,30,58568,2045,31.6182944
Pernampattu,Tamil Nadu,T.P,"41,499",,915,23,38,LOW,56,173,0.794460006,37972,26,4684707,2103,31.6182944
Nainital,Uttarakhand,N.P.P,"41,377",,850,29,12,LOW,61,120,0.749081758,35170,20,105882,3695,31.6182944
Ramachandrapuram,Andhra Pradesh,M,"41,370",,896,28,32,HIGH,62,149,0.852011362,37068,21,237854,2506,29.0798451
Vaijapur,Maharashtra,M.Cl,"41,296",,889,27,33,LOW,79,145,0.69584184,36712,14,4408916,2398,16.42975858
Nangal,Punjab,M.Cl,"41,288",,882,23,31,HIGH,,,,36314,21,242367,2027,16.42975858
Sidlaghatta,Karnataka,T.M.C,"41,268",,929,25,28,MEDIUM,,,,38180,30,636502,2320,31.6182944
Poonch,Jammu and Kashmir,M.B,"41,255",,911,24,12,HIGH,,,,37339,13,58568,2184,31.6182944
Pandhurna,Madhya Pradesh,M,"41,245",,929,24,25,MEDIUM,,,,38025,10,421365,2228,29.0798451
Wadgaon Road,Maharashtra,C.T.,"40,895",,893,29,38,LOW,,,,36509,10,4408916,2587,31.6182944
Talcher,Odisha,M,"40,853",,961,29,40,MEDIUM,90,179,0.282632083,39248,15,66971,2784,29.0798451
Varkala,Kerala,M,"40,759",,971,31,37,HIGH,89,140,0.529044518,39547,12,977479,3007,29.0798451
Pilani,Rajasthan,UA,40600,,861,24,40,MEDIUM,63,117,0.304175121,34948,13,1475311,2064,31.6182944
Nowgong,Madhya Pradesh,M,"40,580",,922,27,35,HIGH,56,164,0.289417829,37415,18,421365,2487,29.0798451
Naila Janjgir,Chhattisgarh,M,"40,561",,970,29,37,MEDIUM,61,130,0.920207179,39344,17,6394,2810,29.0798451
Mapusa,Goa,M.Cl,"40,487",,969,29,31,LOW,82,126,0.152645746,39232,10,541480,2808,16.42975858
Vellakoil,Tamil Nadu,M,"40,359",,912,26,29,HIGH,63,139,0.831647153,36807,29,4684707,2369,29.0798451
Merta City,Rajasthan,M,"40,252",,875,29,37,LOW,66,116,0.850059769,35221,28,1475311,2535,29.0798451
Sivaganga,Tamil Nadu,UA,"40,220",,901,28,28,MEDIUM,87,176,0.407371398,36238,20,4684707,2520,31.6182944
Sailu,Maharashtra,M.Cl,"39,851",,883,23,26,HIGH,88,164,0.565375183,35188,11,4408916,2029,16.42975858
Vyara,Gujarat,M,"39,789",,863,24,36,LOW,88,108,0.621894044,34338,12,284973,2069,29.0798451
Kovvur,Andhra Pradesh,M,"39,667",,878,26,38,LOW,90,188,0.930756202,34828,16,237854,2281,29.0798451
Vadalur,Tamil Nadu,T.P.,"39,514",,913,26,31,LOW,69,168,0.452104746,36076,29,4684707,2372,31.6182944
Nawabganj,Uttar Pradesh,N.P.P,"39,241",,862,27,28,LOW,72,157,0.993439778,33826,21,3104060,2325,31.6182944
Padra,Gujarat,UA,"39,205",,864,23,37,LOW,54,158,0.569810747,33873,14,284973,1985,31.6182944
Siana,Uttar Pradesh,M.B,"38,999",,866,25,25,MEDIUM,59,102,0.239175326,33773,29,3104060,2163,31.6182944
Shahpur,Karnataka,T.M.C,"38,907",,929,25,40,HIGH,61,192,0.519548065,36145,24,636502,2320,31.6182944
Sojat,Rajasthan,M,"38,883",,848,27,38,LOW,82,156,0.040447348,32973,26,1475311,2287,29.0798451
Noorpur,Uttar Pradesh,N.P.P,"38,806",,886,26,35,LOW,50,102,0.403028536,34382,14,3104060,2301,31.6182944
Paravoor,Kerala,M,"38,652",,963,30,29,MEDIUM,89,199,0.348456524,37222,11,977479,2886,29.0798451
Ramnagar,Bihar,N.A,"38,554",,905,29,29,LOW,66,145,0.701767644,34891,12,923737,2622,31.6182944
Murtijapur,Maharashtra,M.Cl,"38,554",,869,28,27,HIGH,100,158,0.735418685,33503,24,4408916,2431,16.42975858
Sundargarh,Odisha,M,"38,421",,940,24,32,HIGH,89,167,0.276284886,36116,11,66971,2254,29.0798451
Taki,West Bengal,M,"38,263",,960,27,39,HIGH,53,117,0.915599256,36732,26,1489500,2590,29.0798451
Saundatti-Yellamma,Karnataka,T.M.C,"38,155",,923,24,38,MEDIUM,87,112,0.831627865,35217,12,636502,2213,31.6182944
Pathanamthitta,Kerala,M,"38,009",,963,28,35,MEDIUM,55,134,0.194197024,36603,21,977479,2694,29.0798451
Wadi,Karnataka,T.M.C.,"37,988",,925,26,32,MEDIUM,63,115,0.752732573,35139,26,636502,2403,31.6182944
Rameshwaram,Tamil Nadu,T.P,"37,968",,917,24,37,HIGH,94,127,0.469445238,34817,16,4684707,2199,31.6182944
Gowribidanur,Karnataka,C.M.C,"37,947",,926,29,26,MEDIUM,94,198,0.357719215,35139,20,636502,2683,31.6182944
Tasgaon,Maharashtra,M.Cl,"37,945",,892,29,35,LOW,90,177,0.389510666,33847,11,4408916,2584,16.42975858
Sikandra Rao,Uttar Pradesh,M.B,"37,938",,874,26,27,LOW,73,149,0.106637455,33158,28,3104060,2270,31.6182944
Sihora,Madhya Pradesh,M,"37,870",,914,29,32,HIGH,79,173,0.998756995,34613,25,421365,2648,29.0798451
Tiruvuru,Andhra Pradesh,M,"37,802",,905,24,27,LOW,66,164,0.787915234,34211,27,237854,2170,29.0798451
Tiruvethipuram,Tamil Nadu,M,"37,802",,907,29,26,HIGH,92,119,0.395261083,34286,13,4684707,2628,29.0798451
Mehkar,Maharashtra,M.Cl,"37,715",,893,23,31,HIGH,77,182,0.969394431,33679,10,4408916,2052,16.42975858
Peringathur,Kerala,C.T,"37,699",,967,31,25,HIGH,100,138,0.177049548,36455,18,977479,2995,31.6182944
Perambalur,Tamil Nadu,T.P,"37,631",,920,26,31,HIGH,70,154,0.848290911,34621,29,4684707,2390,31.6182944
Manvi,Karnataka,T.M.C,"37,613",,921,24,37,HIGH,95,144,0.858662985,34642,15,636502,2208,31.6182944
Pattamundai,Odisha,M,"37,527",,947,28,39,MEDIUM,76,144,0.28833669,35538,18,66971,2649,29.0798451
Zunheboto,Nagaland,T.C,"37,447",,931,29,15,HIGH,91,144,0.141676863,34863,13,2769,2697,31.6182944
Kanigiri,Andhra Pradesh,M,"37,420",,905,28,33,MEDIUM,66,173,0.999185528,33865,30,237854,2532,29.0798451
Mahnar Bazar,Bihar,M,"37,370",,913,28,29,HIGH,54,194,0.018441979,34119,25,923737,2554,29.0798451
Attingal,Kerala,M,"37,346",,976,31,37,HIGH,75,134,0.646359902,36450,16,977479,3023,29.0798451
Shahbad,Haryana,M.C,"37,289",,829,24,33,MEDIUM,77,171,0.789984364,30913,28,303118,1988,11.42467203
Puranpur,Uttar Pradesh,M.B,"37,233",,886,28,35,MEDIUM,66,195,0.378812014,32988,12,3104060,2478,31.6182944
Nelamangala,Karnataka,T.M.C,"37,232",,931,24,34,MEDIUM,78,134,0.382265197,34663,19,636502,2232,31.6182944
Lalganj,Bihar,N.A.C,37000,,919,29,36,LOW,54,168,0.289709096,34003,19,923737,2663,31.6182944
Nakodar,Punjab,M.Cl,"36,973",,873,26,31,LOW,61,171,0.265889583,32277,14,242367,2268,16.42975858
Lunawada,Gujarat,M,"36,954",,846,23,28,MEDIUM,68,103,0.03528047,31263,19,284973,1944,29.0798451
Murshidabad,West Bengal,M,"36,947",,945,23,36,MEDIUM,62,136,0.056393596,34915,22,1489500,2172,29.0798451
Mahe,Puducherry,M,"36,828",,1019,28,28,HIGH,98,138,0.06675218,37528,27,106153,2851,29.0798451
Lanka,Assam,M.B,"36,805",,900,24,6,MEDIUM,63,145,0.627555634,33125,15,24720,2158,31.6182944
Rudauli,Uttar Pradesh,M.B,"36,776",,889,25,37,HIGH,51,181,0.313383263,32694,30,3104060,2220,31.6182944
